,0,1
105,"['2', '83']","Jan 30, 2021 at 1:48 AM"
106,"['12', '6000']","Jan 29, 2021 at 7:34 PM"
107,"['8', '99']","Jan 29, 2021 at 2:50 PM"
108,"['18', '381']","Jan 29, 2021 at 12:43 PM"
109,"['6', '94']","Jan 29, 2021 at 4:08 AM"
110,"['6', '120']","Jan 28, 2021 at 2:50 AM"
111,"['3', '115']","Jan 27, 2021 at 9:38 PM"
112,"['2', '72']","Jan 27, 2021 at 7:53 PM"
113,"['10', '5000']","Jan 27, 2021 at 4:02 PM"
114,"['11', '2000']","Jan 27, 2021 at 2:24 AM"
115,"['8', '238']","Jan 27, 2021 at 1:58 AM"
116,"['4', '139']","Jan 26, 2021 at 6:01 PM"
117,"['9', '178']","Jan 26, 2021 at 11:59 AM"
118,"['2', '151']","Jan 25, 2021 at 6:09 PM"
119,"['14', '3000']","Jan 25, 2021 at 10:07 AM"
120,"['5', '100']","Jan 25, 2021 at 5:04 AM"
121,"['3', '79']","Jan 24, 2021 at 10:04 PM"
122,"['1', '57']","Jan 24, 2021 at 9:47 PM"
123,"['11', '257']","Jan 24, 2021 at 9:18 PM"
124,"['17', '239']","Jan 24, 2021 at 8:47 PM"
125,"['0', '52']","Jan 24, 2021 at 3:07 PM"
126,"['6', '114']","Jan 24, 2021 at 1:08 PM"
127,"['1', '62']","Jan 23, 2021 at 10:04 PM"
128,"['3', '110']","Jan 22, 2021 at 8:50 PM"
129,"['17', '2000']","Jan 22, 2021 at 8:20 PM"
130,"['2', '104']","Jan 22, 2021 at 3:50 PM"
131,"['4', '258']","Jan 22, 2021 at 12:07 PM"
132,"['5', '203']","Jan 22, 2021 at 8:04 AM"
133,"['3', '99']","Jan 21, 2021 at 4:40 PM"
134,"['4', '125']","Jan 21, 2021 at 2:18 AM"
135,"['5', '111']","Jan 20, 2021 at 2:42 PM"
136,"['3', '240']","Jan 20, 2021 at 6:05 AM"
137,"['17', '369']","Jan 20, 2021 at 2:17 AM"
138,"['2', '69']","Jan 19, 2021 at 7:40 PM"
139,"['25', '4000']","Jan 19, 2021 at 12:23 PM"
140,"['14', '2000']","Jan 18, 2021 at 7:39 PM"
141,"['1', '94']","Jan 18, 2021 at 1:12 PM"
142,"['0', '57']","Jan 18, 2021 at 4:09 AM"
143,"['11', '1000']","Jan 18, 2021 at 2:40 AM"
144,"['0', '72']","Jan 17, 2021 at 8:40 PM"
145,"['6', '1000']","Jan 17, 2021 at 4:08 PM"
146,"['0', '64']","Jan 17, 2021 at 9:07 AM"
147,"['11', '199']","Jan 17, 2021 at 7:50 AM"
148,"['8', '91']","Jan 16, 2021 at 6:01 PM"
149,"['6', '434']","Jan 16, 2021 at 11:35 AM"
150,"['4', '64']","Jan 15, 2021 at 4:58 PM"
151,"['1', '71']","Jan 15, 2021 at 12:07 PM"
152,"['7', '182']","Jan 15, 2021 at 5:12 AM"
153,"['0', '46']","Jan 14, 2021 at 10:36 PM"
154,"['2', '95']","Jan 14, 2021 at 10:23 PM"
155,"['3', '467']","Jan 13, 2021 at 10:45 PM"
156,"['2', '369']","Jan 12, 2021 at 11:20 PM"
157,"['2', '90']","Jan 12, 2021 at 9:25 PM"
158,"['17', '472']","Jan 12, 2021 at 8:57 PM"
159,"['3', '295']","Jan 11, 2021 at 7:11 PM"
160,"['1', '74']","Jan 11, 2021 at 7:08 PM"
161,"['3', '147']","Jan 11, 2021 at 6:20 PM"
162,"['7', '2000']","Jan 11, 2021 at 6:34 AM"
163,"['5', '133']","Jan 10, 2021 at 8:13 PM"
164,"['12', '298']","Jan 10, 2021 at 12:03 PM"
165,"['4', '130']","Jan 10, 2021 at 11:59 AM"
166,"['10', '394']","Jan 10, 2021 at 1:25 AM"
167,"['0', '48']","Jan 9, 2021 at 7:01 PM"
168,"['1', '116']","Jan 9, 2021 at 8:02 AM"
169,"['8', '151']","Jan 8, 2021 at 9:16 PM"
170,"['10', '211']","Jan 8, 2021 at 6:03 PM"
171,"['0', '45']","Jan 8, 2021 at 4:11 PM"
172,"['6', '2000']","Jan 8, 2021 at 1:46 AM"
173,"['15', '1000']","Jan 7, 2021 at 11:27 PM"
174,"['25', '3000']","Jan 7, 2021 at 9:15 PM"
175,"['5', '147']","Jan 7, 2021 at 8:37 PM"
176,"['0', '83']","Jan 7, 2021 at 5:40 PM"
177,"['0', '65']","Jan 6, 2021 at 4:38 PM"
178,"['1', '81']","Jan 6, 2021 at 2:33 PM"
179,"['14', '255']","Jan 5, 2021 at 11:09 PM"
180,"['2', '241']","Jan 5, 2021 at 12:59 PM"
181,"['0', '70']","Jan 3, 2021 at 9:38 PM"
182,"['2', '92']","Jan 3, 2021 at 7:06 PM"
183,"['9', '216']","Jan 2, 2021 at 10:06 PM"
184,"['2', '79']","Jan 2, 2021 at 2:15 PM"
185,"['3', '159']","Jan 2, 2021 at 11:31 AM"
186,"['4', '142']","Jan 1, 2021 at 4:09 PM"
187,"['2', '132']","Jan 1, 2021 at 3:28 PM"
188,"['4', '120']","Jan 1, 2021 at 4:16 AM"
189,"['14', '472']","Dec 31, 2020 at 10:13 AM"
190,"['2', '86']","Dec 31, 2020 at 8:20 AM"
191,"['6', '182']","Dec 30, 2020 at 4:36 PM"
192,"['2', '107']","Dec 29, 2020 at 12:24 AM"
193,"['1', '105']","Dec 28, 2020 at 11:12 PM"
